Number of Relations,Problem Subtype,Structure,Stimulus Name,Correct Answer,% Correct in Norming Study
Three Relations,Shading and Size,B3D4E2,B3D4E2,2,0.5
Three Relations,Shading and Size,B3D5E1,B3D5E1,3,0
Three Relations,Shading and Size,B4C1D3,B4C1D3,1,0.75
Three Relations,Shading and Size,B4C2D5,B4C2D5,2,0.75
Three Relations,Shading and Size,B4D3E2,B4D3E2,7,1
Three Relations,Shading and Size,B4D5E1,B4D5E1,6,0
Three Relations,Shading and Size,B5C1D3,B5C1D3,6,0
Three Relations,Shading and Size,B5C1D4,B5C1D4,5,0.75
Three Relations,Shading and Size,B5C2D4,B5C2D4,7,0
Three Relations,Shading and Size,B5D3E2,B5D3E2,5,0.25
Three Relations,Shading and Size,B5D4E1,B5D4E1,8,0.25
Three Relations,Shading and Number,A1B3E4,A1B3E4,5,0.75
Three Relations,Shading and Number,A1B3E5,A1B3E5,7,0.75
Three Relations,Shading and Number,A1B4E5,A1B4E5,6,0.5
Three Relations,Shading and Number,A1B5E4,A1B5E4,2,0.25
Three Relations,Shading and Number,A2B3E4,A2B3E4,2,0.75
Three Relations,Shading and Number,A2B3E5,A2B3E5,5,0.75
Three Relations,Shading and Number,A2B4E3,A2B4E3,4,0.75
Three Relations,Shading and Number,A2B5E3,A2B5E3,1,0.25
Three Relations,Shading and Number,B3C1E5,B3C1E5,8,0.75
Three Relations,Shading and Number,B3C2E4,B3C2E4,1,0.75
Three Relations,Shading and Number,B3D1E5,B3D1E5,6,1
Three Relations,Shading and Number,B3D2E4,B3D2E4,6,0.75
Three Relations,Shading and Number,B4C1E5,B4C1E5,3,0.75
Three Relations,Shading and Number,B4C2E3,B4C2E3,2,0.75
Three Relations,Shading and Number,B4D1E5,B4D1E5,6,0.75
Three Relations,Shading and Number,B4D2E3,B4D2E3,1,0.25
Three Relations,Shading and Number,B5C1E4,B5C1E4,6,0.5
Three Relations,Shading and Number,B5C2E3,B5C2E3,7,0
Three Relations,Shading and Number,B5D1E4,B5D1E4,4,0.5
Three Relations,Shading and Number,B5D2E3,B5D2E3,3,0.25
Three Relations,Orientation and Size,A1C3D4,A1C3D4,7,0.5
Three Relations,Orientation and Size,A1C4D3,A1C4D3,1,0.75
Three Relations,Orientation and Size,A1C5D3,A1C5D3,2,0.5
Three Relations,Orientation and Size,A2C3D5,A2C3D5,4,0.25
Three Relations,Orientation and Size,A2C4D5,A2C4D5,8,0.25
Three Relations,Orientation and Size,A2C5D4,A2C5D4,3,0.25
Three Relations,Orientation and Size,B1C3D5,B1C3D5,2,0.25
Three Relations,Orientation and Size,B1C4D5,B1C4D5,6,0.5
Three Relations,Orientation and Size,B1C5D4,B1C5D4,6,0.5
Three Relations,Orientation and Size,B2C3D4,B2C3D4,3,1
Three Relations,Orientation and Size,B2C4D3,B2C4D3,6,0.25
Three Relations,Orientation and Size,B2C5D3,B2C5D3,1,0
Three Relations,Orientation and Size,C3D4E2,C3D4E2,1,0.5
Three Relations,Orientation and Size,C3D5E1,C3D5E1,3,0.5
Three Relations,Orientation and Size,C3D5E2,C3D5E2,6,0.5
Three Relations,Orientation and Size,C4D3E1,C4D3E1,5,0.25
Three Relations,Orientation and Size,C4D3E2,C4D3E2,2,0.75
Three Relations,Orientation and Size,C4D5E1,C4D5E1,7,0
Three Relations,Orientation and Size,C5D3E2,C5D3E2,4,0.5
Three Relations,Orientation and Size,C5D4E1,C5D4E1,6,0.75
Three Relations,Orientation and Number,A1C3E4,A1C3E4,1,0.5
Three Relations,Orientation and Number,A1C4E3,A1C4E3,1,0.5
Three Relations,Orientation and Number,A1C5E3,A1C5E3,6,0.5
Three Relations,Orientation and Number,A2C3E5,A2C3E5,6,0.75
Three Relations,Orientation and Number,A2C4E5,A2C4E5,2,1
Three Relations,Orientation and Number,A2C5E4,A2C5E4,6,1
Three Relations,Orientation and Number,B1C4E3,B1C4E3,7,0.75
Three Relations,Orientation and Number,B1C4E5,B1C4E5,3,0.75
Three Relations,Orientation and Number,B1C5E3,B1C5E3,2,0
Three Relations,Orientation and Number,B1C5E4,B1C5E4,7,0.5
Three Relations,Orientation and Number,B2C3E4,B2C3E4,4,0.75
Three Relations,Orientation and Number,B2C3E5,B2C3E5,6,0.75
Three Relations,Orientation and Number,B2C4E3,B2C4E3,1,0.5
Three Relations,Orientation and Number,B2C4E5,B2C4E5,6,0.75
Three Relations,Orientation and Number,C3D1E4,C3D1E4,2,0.5
Three Relations,Orientation and Number,C3D2E5,C3D2E5,3,0.75
Three Relations,Orientation and Number,C4D1E3,C4D1E3,3,0.75
Three Relations,Orientation and Number,C4D2E5,C4D2E5,4,0.75
Three Relations,Orientation and Number,C5D1E3,C5D1E3,1,0.5
Three Relations,Orientation and Number,C5D2E4,C5D2E4,8,0.25
Three Relations,Size and Number,A1D3E4,A1D3E4,2,0.5
Three Relations,Size and Number,A1D4E3,A1D4E3,4,0
Three Relations,Size and Number,A1D4E5,A1D4E5,3,0.5
Three Relations,Size and Number,A1D5E3,A1D5E3,1,0.5
Three Relations,Size and Number,A2D3E5,A2D3E5,7,0.75
Three Relations,Size and Number,A2D4E5,A2D4E5,3,0.75
Three Relations,Size and Number,A2D5E3,A2D5E3,7,0.75
Three Relations,Size and Number,A2D5E4,A2D5E4,3,0.5
Three Relations,Size and Number,B1D3E4,B1D3E4,1,0.5
Three Relations,Size and Number,B1D4E3,B1D4E3,2,0.25
Three Relations,Size and Number,B1D4E5,B1D4E5,6,0.75
Three Relations,Size and Number,B1D5E3,B1D5E3,3,0.5
Three Relations,Size and Number,B2D3E5,B2D3E5,8,0.75
Three Relations,Size and Number,B2D5E4,B2D5E4,4,0.25
Three Relations,Size and Number,C1D3E4,C1D3E4,6,0.25
Three Relations,Size and Number,C1D4E3,C1D4E3,1,0.5
Three Relations,Size and Number,C1D5E3,C1D5E3,1,0.75
Three Relations,Size and Number,C2D3E5,C2D3E5,6,1
Three Relations,Size and Number,C2D4E5,C2D4E5,6,0.25
Three Relations,Size and Number,C2D5E4,C2D5E4,2,0.25
Three Relations,"Shape, Shading, and Orientation",A3B4C5,A3B4C5_1,1,0
Three Relations,"Shape, Shading, and Orientation",A3B4C5,A3B4C5_2,2,0.25
Three Relations,"Shape, Shading, and Orientation",A3B4C5,A3B4C5_3,1,0
Three Relations,"Shape, Shading, and Orientation",A3B4C5,A3B4C5_4,1,0
Three Relations,"Shape, Shading, and Orientation",A3B4C5,A3B4C5_5,1,0
Three Relations,"Shape, Shading, and Orientation",A3B5C4,A3B5C4_1,3,0.5
Three Relations,"Shape, Shading, and Orientation",A3B5C4,A3B5C4_2,7,0.25
Three Relations,"Shape, Shading, and Orientation",A3B5C4,A3B5C4_3,2,0
Three Relations,"Shape, Shading, and Orientation",A3B5C4,A3B5C4_4,6,0
Three Relations,"Shape, Shading, and Orientation",A3B5C4,A3B5C4_5,8,0
Three Relations,"Shape, Shading, and Orientation",A4B3C5,A4B3C5_1,1,0.25
Three Relations,"Shape, Shading, and Orientation",A4B3C5,A4B3C5_2,4,0.25
Three Relations,"Shape, Shading, and Orientation",A4B3C5,A4B3C5_3,6,0.75
Three Relations,"Shape, Shading, and Orientation",A4B3C5,A4B3C5_4,3,1
Three Relations,"Shape, Shading, and Orientation",A4B3C5,A4B3C5_5,2,0
Three Relations,"Shape, Shading, and Orientation",A4B5C3,A4B5C3_1,3,0
Three Relations,"Shape, Shading, and Orientation",A4B5C3,A4B5C3_2,6,0.75
Three Relations,"Shape, Shading, and Orientation",A4B5C3,A4B5C3_3,6,0.75
Three Relations,"Shape, Shading, and Orientation",A4B5C3,A4B5C3_4,4,0.5
Three Relations,"Shape, Shading, and Orientation",A4B5C3,A4B5C3_5,3,1
Three Relations,"Shape, Shading, and Size",A3B4D5,A3B4D5_1,1,0.25
Three Relations,"Shape, Shading, and Size",A3B4D5,A3B4D5_2,4,0
Three Relations,"Shape, Shading, and Size",A3B4D5,A3B4D5_3,6,0.25
Three Relations,"Shape, Shading, and Size",A3B4D5,A3B4D5_4,3,0.25
Three Relations,"Shape, Shading, and Size",A3B4D5,A3B4D5_5,2,0.75
Three Relations,"Shape, Shading, and Size",A3B5D4,A3B5D4_1,7,0.25
Three Relations,"Shape, Shading, and Size",A3B5D4,A3B5D4_2,3,0
Three Relations,"Shape, Shading, and Size",A3B5D4,A3B5D4_3,6,0
Three Relations,"Shape, Shading, and Size",A3B5D4,A3B5D4_4,6,0.25
Three Relations,"Shape, Shading, and Size",A3B5D4,A3B5D4_5,4,0.25
Three Relations,"Shape, Shading, and Size",A4B3D5,A4B3D5_1,1,0.5
Three Relations,"Shape, Shading, and Size",A4B3D5,A4B3D5_2,2,0.5
Three Relations,"Shape, Shading, and Size",A4B3D5,A4B3D5_3,1,0.25
Three Relations,"Shape, Shading, and Size",A4B3D5,A4B3D5_4,1,1
Three Relations,"Shape, Shading, and Size",A4B3D5,A4B3D5_5,1,0.5
Three Relations,"Shape, Shading, and Size",A4B5D3,A4B5D3_1,3,0.75
Three Relations,"Shape, Shading, and Size",A4B5D3,A4B5D3_2,7,0
Three Relations,"Shape, Shading, and Size",A4B5D3,A4B5D3_3,2,0.5
Three Relations,"Shape, Shading, and Size",A4B5D3,A4B5D3_4,6,0
Three Relations,"Shape, Shading, and Size",A4B5D3,A4B5D3_5,8,0.25
Three Relations,"Shape, Shading, and Number",A3B4E5,A3B4E5_1,1,0.5
Three Relations,"Shape, Shading, and Number",A3B4E5,A3B4E5_2,2,0.75
Three Relations,"Shape, Shading, and Number",A3B4E5,A3B4E5_3,1,0.5
Three Relations,"Shape, Shading, and Number",A3B4E5,A3B4E5_4,1,0.75
Three Relations,"Shape, Shading, and Number",A3B4E5,A3B4E5_5,1,0.5
Three Relations,"Shape, Shading, and Number",A3B5E4,A3B5E4_1,3,1
Three Relations,"Shape, Shading, and Number",A3B5E4,A3B5E4_2,7,1
Three Relations,"Shape, Shading, and Number",A3B5E4,A3B5E4_3,2,0.25
Three Relations,"Shape, Shading, and Number",A3B5E4,A3B5E4_4,6,0.5
Three Relations,"Shape, Shading, and Number",A3B5E4,A3B5E4_5,3,1
Three Relations,"Shape, Shading, and Number",A4B3E5,A4B3E5_1,4,1
Three Relations,"Shape, Shading, and Number",A4B3E5,A4B3E5_2,1,0.75
Three Relations,"Shape, Shading, and Number",A4B3E5,A4B3E5_3,4,0.75
Three Relations,"Shape, Shading, and Number",A4B3E5,A4B3E5_4,6,1
Three Relations,"Shape, Shading, and Number",A4B3E5,A4B3E5_5,3,0.75
Three Relations,"Shape, Shading, and Number",A4B5E3,A4B5E3_1,7,0.75
Three Relations,"Shape, Shading, and Number",A4B5E3,A4B5E3_2,3,1
Three Relations,"Shape, Shading, and Number",A4B5E3,A4B5E3_3,6,0
Three Relations,"Shape, Shading, and Number",A4B5E3,A4B5E3_4,6,0.25
Three Relations,"Shape, Shading, and Number",A4B5E3,A4B5E3_5,4,0
Three Relations,"Shape, Orientation, and Size",A3C4D5,A3C4D5_1,4,0.25
Three Relations,"Shape, Orientation, and Size",A3C4D5,A3C4D5_2,1,0.25
Three Relations,"Shape, Orientation, and Size",A3C4D5,A3C4D5_3,4,0.5
Three Relations,"Shape, Orientation, and Size",A3C4D5,A3C4D5_4,6,0.5
Three Relations,"Shape, Orientation, and Size",A3C4D5,A3C4D5_5,3,0.25
Three Relations,"Shape, Orientation, and Size",A3C5D4,A3C5D4_1,7,0
Three Relations,"Shape, Orientation, and Size",A3C5D4,A3C5D4_2,3,0
Three Relations,"Shape, Orientation, and Size",A3C5D4,A3C5D4_3,6,0.5
Three Relations,"Shape, Orientation, and Size",A3C5D4,A3C5D4_4,6,0.25
Three Relations,"Shape, Orientation, and Size",A3C5D4,A3C5D4_5,4,0.5
Three Relations,"Shape, Orientation, and Size",A4C3D5,A4C3D5_1,1,0.25
Three Relations,"Shape, Orientation, and Size",A4C3D5,A4C3D5_2,2,0.5
Three Relations,"Shape, Orientation, and Size",A4C3D5,A4C3D5_3,1,0.25
Three Relations,"Shape, Orientation, and Size",A4C3D5,A4C3D5_4,1,0.75
Three Relations,"Shape, Orientation, and Size",A4C3D5,A4C3D5_5,1,0.25
Three Relations,"Shape, Orientation, and Size",A4C5D3,A4C5D3_1,1,0.75
Three Relations,"Shape, Orientation, and Size",A4C5D3,A4C5D3_2,3,0.75
Three Relations,"Shape, Orientation, and Size",A4C5D3,A4C5D3_3,7,0.5
Three Relations,"Shape, Orientation, and Size",A4C5D3,A4C5D3_4,2,0.5
Three Relations,"Shape, Orientation, and Size",A4C5D3,A4C5D3_5,6,0.75
Three Relations,"Shape, Orientation, and Number",A3C4E5,A3C4E5_1,3,0.75
Three Relations,"Shape, Orientation, and Number",A3C4E5,A3C4E5_2,1,1
Three Relations,"Shape, Orientation, and Number",A3C4E5,A3C4E5_3,2,0.25
Three Relations,"Shape, Orientation, and Number",A3C4E5,A3C4E5_4,1,0
Three Relations,"Shape, Orientation, and Number",A3C4E5,A3C4E5_5,1,0.75
Three Relations,"Shape, Orientation, and Number",A3C5E4,A3C5E4_1,1,0.25
Three Relations,"Shape, Orientation, and Number",A3C5E4,A3C5E4_2,3,0.5
Three Relations,"Shape, Orientation, and Number",A3C5E4,A3C5E4_3,7,0.25
Three Relations,"Shape, Orientation, and Number",A3C5E4,A3C5E4_4,2,0.25
Three Relations,"Shape, Orientation, and Number",A3C5E4,A3C5E4_5,6,0.25
Three Relations,"Shape, Orientation, and Number",A4C3E5,A4C3E5_1,4,0.5
Three Relations,"Shape, Orientation, and Number",A4C3E5,A4C3E5_2,1,0.75
Three Relations,"Shape, Orientation, and Number",A4C3E5,A4C3E5_3,4,0.75
Three Relations,"Shape, Orientation, and Number",A4C3E5,A4C3E5_4,6,1
Three Relations,"Shape, Orientation, and Number",A4C3E5,A4C3E5_5,3,0.5
Three Relations,"Shape, Orientation, and Number",A4C5E3,A4C5E3_1,7,1
Three Relations,"Shape, Orientation, and Number",A4C5E3,A4C5E3_2,3,1
Three Relations,"Shape, Orientation, and Number",A4C5E3,A4C5E3_3,6,1
Three Relations,"Shape, Orientation, and Number",A4C5E3,A4C5E3_4,6,0.75
Three Relations,"Shape, Orientation, and Number",A4C5E3,A4C5E3_5,4,1
Three Relations,"Shape, Size, and Number",A3D4E5,A3D4E5_1,4,0.5
Three Relations,"Shape, Size, and Number",A3D4E5,A3D4E5_2,1,1
Three Relations,"Shape, Size, and Number",A3D4E5,A3D4E5_3,4,0.5
Three Relations,"Shape, Size, and Number",A3D4E5,A3D4E5_4,6,0.75
Three Relations,"Shape, Size, and Number",A3D4E5,A3D4E5_5,3,0.5
Three Relations,"Shape, Size, and Number",A3D5E4,A3D5E4_1,4,0.5
Three Relations,"Shape, Size, and Number",A3D5E4,A3D5E4_2,7,0.25
Three Relations,"Shape, Size, and Number",A3D5E4,A3D5E4_3,3,0.25
Three Relations,"Shape, Size, and Number",A3D5E4,A3D5E4_4,6,0.75
Three Relations,"Shape, Size, and Number",A3D5E4,A3D5E4_5,6,0.5
Three Relations,"Shape, Size, and Number",A4D3E5,A4D3E5_1,3,0.75
Three Relations,"Shape, Size, and Number",A4D3E5,A4D3E5_2,1,1
Three Relations,"Shape, Size, and Number",A4D3E5,A4D3E5_3,2,0.75
Three Relations,"Shape, Size, and Number",A4D3E5,A4D3E5_4,1,0.75
Three Relations,"Shape, Size, and Number",A4D3E5,A4D3E5_5,1,0.75
Three Relations,"Shape, Size, and Number",A4D5E3,A4D5E3_1,1,1
Three Relations,"Shape, Size, and Number",A4D5E3,A4D5E3_2,3,0.25
Three Relations,"Shape, Size, and Number",A4D5E3,A4D5E3_3,7,0.5
Three Relations,"Shape, Size, and Number",A4D5E3,A4D5E3_4,2,1
Three Relations,"Shape, Size, and Number",A4D5E3,A4D5E3_5,6,0.25
Three Relations,"Shading, Orientation, and Size",B3C4D5,B3C4D5_1,5,0
Three Relations,"Shading, Orientation, and Size",B3C4D5,B3C4D5_2,1,0
Three Relations,"Shading, Orientation, and Size",B3C4D5,B3C4D5_3,4,0.5
Three Relations,"Shading, Orientation, and Size",B3C4D5,B3C4D5_4,1,0.5
Three Relations,"Shading, Orientation, and Size",B3C5D4,B3C5D4_1,4,0.5
Three Relations,"Shading, Orientation, and Size",B3C5D4,B3C5D4_2,3,0.75
Three Relations,"Shading, Orientation, and Size",B3C5D4,B3C5D4_3,6,0.5
Three Relations,"Shading, Orientation, and Size",B3C5D4,B3C5D4_4,6,0.5
Three Relations,"Shading, Orientation, and Size",B4C3D5,B4C3D5_1,3,0.75
Three Relations,"Shading, Orientation, and Size",B4C3D5,B4C3D5_2,1,0
Three Relations,"Shading, Orientation, and Size",B4C3D5,B4C3D5_3,1,0.25
Three Relations,"Shading, Orientation, and Size",B4C5D3,B4C5D3_1,1,0.75
Three Relations,"Shading, Orientation, and Size",B4C5D3,B4C5D3_2,3,1
Three Relations,"Shading, Orientation, and Size",B4C5D3,B4C5D3_3,2,0.5
Three Relations,"Shading, Orientation, and Size",B5C3D4,B5C3D4_1,4,0
Three Relations,"Shading, Orientation, and Size",B5C3D4,B5C3D4_2,2,0.25
Three Relations,"Shading, Orientation, and Size",B5C3D4,B5C3D4_3,6,0
Three Relations,"Shading, Orientation, and Size",B5C4D3,B5C4D3_1,7,0.25
Three Relations,"Shading, Orientation, and Size",B5C4D3,B5C4D3_2,7,0.75
Three Relations,"Shading, Orientation, and Size",B5C4D3,B5C4D3_3,6,0
Three Relations,"Shading, Orientation, and Number",B3C4E5,B3C4E5_1,4,0.75
Three Relations,"Shading, Orientation, and Number",B3C4E5,B3C4E5_2,2,0.75
Three Relations,"Shading, Orientation, and Number",B3C4E5,B3C4E5_3,6,0.75
Three Relations,"Shading, Orientation, and Number",B3C5E4,B3C5E4_1,7,0.5
Three Relations,"Shading, Orientation, and Number",B3C5E4,B3C5E4_2,7,0.5
Three Relations,"Shading, Orientation, and Number",B3C5E4,B3C5E4_3,7,0.75
Three Relations,"Shading, Orientation, and Number",B3C5E4,B3C5E4_4,6,0.5
Three Relations,"Shading, Orientation, and Number",B4C3E5,B4C3E5_1,5,1
Three Relations,"Shading, Orientation, and Number",B4C3E5,B4C3E5_2,1,0.75
Three Relations,"Shading, Orientation, and Number",B4C3E5,B4C3E5_3,4,0.75
Three Relations,"Shading, Orientation, and Number",B4C3E5,B4C3E5_4,1,0.75
Three Relations,"Shading, Orientation, and Number",B4C5E3,B4C5E3_1,4,0
Three Relations,"Shading, Orientation, and Number",B4C5E3,B4C5E3_2,3,1
Three Relations,"Shading, Orientation, and Number",B4C5E3,B4C5E3_3,6,0.5
Three Relations,"Shading, Orientation, and Number",B5C3E4,B5C3E4_1,3,0.5
Three Relations,"Shading, Orientation, and Number",B5C3E4,B5C3E4_2,1,0
Three Relations,"Shading, Orientation, and Number",B5C3E4,B5C3E4_3,1,0.5
Three Relations,"Shading, Orientation, and Number",B5C4E3,B5C4E3_1,1,0.25
Three Relations,"Shading, Orientation, and Number",B5C4E3,B5C4E3_2,3,0.75
Three Relations,"Shading, Orientation, and Number",B5C4E3,B5C4E3_3,2,0
Three Relations,"Shading, Size, and Number",B3D4E5,B3D4E5_1,3,0.75
Three Relations,"Shading, Size, and Number",B3D4E5,B3D4E5_2,1,0.75
Three Relations,"Shading, Size, and Number",B3D4E5,B3D4E5_3,1,0.75
Three Relations,"Shading, Size, and Number",B3D5E4,B3D5E4_1,1,0
Three Relations,"Shading, Size, and Number",B3D5E4,B3D5E4_2,3,0
Three Relations,"Shading, Size, and Number",B3D5E4,B3D5E4_3,2,0.25
Three Relations,"Shading, Size, and Number",B4D3E5,B4D3E5_1,8,0.5
Three Relations,"Shading, Size, and Number",B4D3E5,B4D3E5_2,4,0.5
Three Relations,"Shading, Size, and Number",B4D3E5,B4D3E5_3,2,0.5
Three Relations,"Shading, Size, and Number",B4D3E5,B4D3E5_4,6,0.75
Three Relations,"Shading, Size, and Number",B4D5E3,B4D5E3_1,7,0.25
Three Relations,"Shading, Size, and Number",B4D5E3,B4D5E3_2,7,0.5
Three Relations,"Shading, Size, and Number",B4D5E3,B4D5E3_3,7,0.5
Three Relations,"Shading, Size, and Number",B4D5E3,B4D5E3_4,6,0
Three Relations,"Shading, Size, and Number",B5D3E4,B5D3E4_1,5,0.25
Three Relations,"Shading, Size, and Number",B5D3E4,B5D3E4_2,1,0.25
Three Relations,"Shading, Size, and Number",B5D3E4,B5D3E4_3,4,0
Three Relations,"Shading, Size, and Number",B5D4E3,B5D4E3_1,4,0.25
Three Relations,"Shading, Size, and Number",B5D4E3,B5D4E3_2,3,0
Three Relations,"Shading, Size, and Number",B5D4E3,B5D4E3_3,6,0.25
Three Relations,"Orientation, Size, and Number",C3D4E5,C3D4E5_1,5,0.75
Three Relations,"Orientation, Size, and Number",C3D4E5,C3D4E5_2,1,0.75
Three Relations,"Orientation, Size, and Number",C3D4E5,C3D4E5_3,4,0.75
Three Relations,"Orientation, Size, and Number",C3D5E4,C3D5E4_1,4,0.5
Three Relations,"Orientation, Size, and Number",C3D5E4,C3D5E4_2,3,0.25
Three Relations,"Orientation, Size, and Number",C3D5E4,C3D5E4_3,6,0.25
Three Relations,"Orientation, Size, and Number",C4D3E5,C4D3E5_1,3,1
Three Relations,"Orientation, Size, and Number",C4D3E5,C4D3E5_2,1,0.25
Three Relations,"Orientation, Size, and Number",C4D3E5,C4D3E5_3,1,0.25
Three Relations,"Orientation, Size, and Number",C4D5E3,C4D5E3_1,6,0.5
Three Relations,"Orientation, Size, and Number",C4D5E3,C4D5E3_2,1,1
Three Relations,"Orientation, Size, and Number",C4D5E3,C4D5E3_3,3,0.5
Three Relations,"Orientation, Size, and Number",C4D5E3,C4D5E3_4,2,0.25
Three Relations,"Orientation, Size, and Number",C5D3E4,C5D3E4_1,8,0
Three Relations,"Orientation, Size, and Number",C5D3E4,C5D3E4_2,4,0.25
Three Relations,"Orientation, Size, and Number",C5D3E4,C5D3E4_3,2,0.5
Three Relations,"Orientation, Size, and Number",C5D3E4,C5D3E4_4,6,0.25
Three Relations,"Orientation, Size, and Number",C5D4E3,C5D4E3_1,7,0.25
Three Relations,"Orientation, Size, and Number",C5D4E3,C5D4E3_2,7,0.25
Three Relations,"Orientation, Size, and Number",C5D4E3,C5D4E3_3,7,0.5
Logic,OR,X,X_1,5,0.25
Logic,OR,X,X_2,5,0.25
Logic,OR,X,X_3,7,0.75
Logic,OR,X,X_4,2,1
Logic,OR,X,X_5,8,0.5
Logic,OR,X,X_6,4,0.5
Logic,OR,X,X_7,5,0.75
Logic,OR,X,X_8,8,0.5
Logic,OR,X,X_9,5,0.75
Logic,OR,X,X_10,4,0.5
Logic,OR,X,X_11,2,0.25
Logic,OR,X,X_12,8,0
Logic,OR,X,X_13,7,0.25
Logic,OR,X,X_14,5,0.25
Logic,OR,X,X_15,3,0.75
Logic,OR,X,X_16,2,0.5
Logic,OR,X,X_17,8,0.75
Logic,OR,X,X_18,6,0
Logic,OR,X,X_19,8,0.25
Logic,OR,X,X_20,7,0.5
Logic,AND,Y,Y_1,6,0.5
Logic,AND,Y,Y_2,5,0.5
Logic,AND,Y,Y_3,5,0.5
Logic,AND,Y,Y_4,7,0.5
Logic,AND,Y,Y_5,2,0
Logic,AND,Y,Y_6,8,0.75
Logic,AND,Y,Y_7,4,0
Logic,AND,Y,Y_8,5,0.5
Logic,AND,Y,Y_9,8,0
Logic,AND,Y,Y_10,5,0.25
Logic,AND,Y,Y_11,4,0.5
Logic,AND,Y,Y_12,2,0.25
Logic,AND,Y,Y_13,8,0.25
Logic,AND,Y,Y_14,7,0
Logic,AND,Y,Y_15,5,0.25
Logic,AND,Y,Y_16,3,0.25
Logic,AND,Y,Y_17,2,0.25
Logic,AND,Y,Y_18,8,0.5
Logic,AND,Y,Y_19,6,0.5
Logic,AND,Y,Y_20,8,0.5
Logic,XOR,Z,Z_1,7,0.25
Logic,XOR,Z,Z_2,6,0.25
Logic,XOR,Z,Z_3,5,0
Logic,XOR,Z,Z_4,5,0
Logic,XOR,Z,Z_5,7,0.25
Logic,XOR,Z,Z_6,2,0
Logic,XOR,Z,Z_7,8,0
Logic,XOR,Z,Z_8,4,0.5
Logic,XOR,Z,Z_9,5,1
Logic,XOR,Z,Z_10,8,0.25
Logic,XOR,Z,Z_11,5,0.5
Logic,XOR,Z,Z_12,4,0.5
Logic,XOR,Z,Z_13,2,0.5
Logic,XOR,Z,Z_14,8,0.25
Logic,XOR,Z,Z_15,7,0.5
Logic,XOR,Z,Z_16,5,0.5
Logic,XOR,Z,Z_17,3,0.25
Logic,XOR,Z,Z_18,2,0.75
Logic,XOR,Z,Z_19,8,0.5
Logic,XOR,Z,Z_20,6,0
